[08-07 09:18:05]日志流被成功打开.
[08-07 14:09:44](127.0.0.1)：[test0002]create char [9687143]，	 online/total:1/0
[08-07 14:09:51](127.0.0.1)：[test0002]select char[9687143]begin paly...，	 online/total：1/0
[08-07 14:10:00](127.0.0.1)：[test0002]select char[9687143]begin paly...，	 online/total：1/0
[08-07 14:10:03](127.0.0.1):[test0002] char [9687143]entry map server begin play...，	 online/total:1/1
[08-07 14:10:42](127.0.0.1)：[test0002]exit char[9687143]begin entry select char UI...，	 online/total:1/0
[08-07 14:10:49](127.0.0.1)：[test0002]select char[9687143]begin paly...，	 online/total：1/0
[08-07 14:10:50](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:19:22](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:19:28](127.0.0.1)：[test0002]select char[9687143]begin paly...，	 online/total：1/0
[08-07 14:19:34](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:20:33](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:21:02](127.0.0.1)：[test0002]select char[9687143]begin paly...，	 online/total：1/0
[08-07 14:22:29](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:23:22](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:23:39](127.0.0.1)：[test0002]create char [76965895]，	 online/total:1/0
[08-07 14:23:43](127.0.0.1)：[test0002]select char[76965895]begin paly...，	 online/total：1/0
[08-07 14:23:50](127.0.0.1):[test0002] char [76965895]entry map server begin play...，	 online/total:1/1
[08-07 14:27:42](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:32:57](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:33:03](127.0.0.1)：[test0002]select char[76965895]begin paly...，	 online/total：1/0
[08-07 14:34:04](127.0.0.1)：[test0002]select char[76965895]begin paly...，	 online/total：1/0
[08-08 04:50:13](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-08 04:52:03](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-08 04:52:21](127.0.0.1)：[test0002769658951/0
[08-08 04:52:30](127.0.0.1)：[test000296871431/0
[08-08 04:52:46](127.0.0.1)：[test0002]create char [67895]，	 online/total:1/0
[08-08 04:54:54](127.0.0.1)：[test0002]select char[67895]begin paly...，	 online/total：1/0
[08-08 04:55:02](127.0.0.1):[test0002] char [67895]entry map server begin play...，	 online/total:1/1
[08-06 04:56:51](127.0.0.1)：[test0002]exit char[67895]begin entry select char UI...，	 online/total:1/0
[08-06 04:57:23](127.0.0.1)：[test0002]select char[67895]begin paly...，	 online/total：1/0
[08-06 04:57:30](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 04:57:44](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 04:57:51](127.0.0.1)：[test0002]select char[67895]begin paly...，	 online/total：1/0
[08-06 04:58:39](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 04:58:50](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 04:59:01](127.0.0.1)：[test0002678951/0
[08-06 04:59:16](127.0.0.1)：[test0002]create char [yu8967]，	 online/total:1/0
[08-06 04:59:21](127.0.0.1)：[test0002]select char[yu8967]begin paly...，	 online/total：1/0
[08-06 04:59:27](127.0.0.1):[test0002] char [yu8967]entry map server begin play...，	 online/total:1/1
[08-06 05:03:20](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 05:09:02](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 05:09:05](127.0.0.1)：[test0002]select char[yu8967]begin paly...，	 online/total：1/0
[08-06 05:09:07](127.0.0.1)：[test0002]select char[yu8967]begin paly...，	 online/total：1/0
[08-06 05:11:22](127.0.0.1)：[test0002]select char[yu8967]begin paly...，	 online/total：1/0
[08-06 05:17:19](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 05:18:10](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 05:18:28](127.0.0.1)：[test0002yu89671/0
[08-06 05:18:42](127.0.0.1)：[test0002]create char [i87324]，	 online/total:1/0
[08-06 05:18:45](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:18:51](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-06 05:19:36](127.0.0.1)：[test0002]exit char[i87324]begin entry select char UI...，	 online/total:1/0
[08-06 05:28:48](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 05:30:54](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 05:30:58](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:31:05](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-06 05:32:32](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 05:45:31](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 05:45:37](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:47:29](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:48:39](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-06 05:48:55](127.0.0.1)：[test0002]exit char[i87324]begin entry select char UI...，	 online/total:1/0
[08-06 05:49:17](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:50:30](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-06 05:51:08](127.0.0.1)：[test0002]exit char[i87324]begin entry select char UI...，	 online/total:1/0
[08-06 05:56:34](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 05:58:04](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 06:09:36](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 06:10:58](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 06:11:07](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
